Country Name,Country Code,Region,Mean Salaries Male,Mean Salaries Female,Mean Unemployment Male,Mean Unemployment Female
Sweden,SWE,Europe & Central Asia,84.62574986049107,93.80460820879254,7.693071373871398,6.829249995095389
Eswatini,SWZ,Sub-Saharan Africa,77.52939305986676,63.114000047956196,22.794642925262448,27.56096424375262
Syrian Arab Republic,SYR,Middle East & North Africa,53.57139260428293,63.720249720982146,6.381750072751727,19.162821429116384
Chad,TCD,Sub-Saharan Africa,10.012678555079862,0.8954999979053228,1.5094285735062187,1.2673214322754311
Togo,TGO,Sub-Saharan Africa,26.34499999455043,12.758107185363766,2.288107165268489,1.6144285712923316
Thailand,THA,East Asia & Pacific,42.43314279828753,40.07075023651124,1.3224642936672486,1.3663571370499472
Tajikistan,TJK,Europe & Central Asia,48.82853562491281,60.0527138028826,12.026964281286515,10.24910723737308
Turkmenistan,TKM,Europe & Central Asia,70.07271466936383,75.08842849731445,7.820071399211882,4.211142839065619
Timor-Leste,TLS,East Asia & Pacific,27.967857224600657,17.22007155418396,3.041714293616159,4.390071460178921
Tonga,TON,East Asia & Pacific,46.51760741642543,40.03717885698591,1.1902499954615322,3.2808571330138614
Trinidad and Tobago,TTO,Latin America & Caribbean,74.51146371023995,82.43200056893485,2.923428573778698,3.9840714505740573
Tunisia,TUN,Middle East & North Africa,69.98789269583565,79.34728540693011,13.613000018256056,18.56753580910819
Turkey,TUR,Europe & Central Asia,59.62060751233782,45.47464302607944,8.897964324269974,9.6766072000776
Tanzania,TZA,Sub-Saharan Africa,15.806285619735728,7.252428599766321,2.5099285883562916,3.5578571728297637
Uganda,UGA,Sub-Saharan Africa,22.748785700116837,9.519107120377678,2.034250012465886,2.642035714217595
Ukraine,UKR,Europe & Central Asia,82.18917846679688,82.08057103838239,8.416714216981612,6.998000012976781
Uruguay,URY,Latin America & Caribbean,69.10403578622001,75.67442784990583,8.314499957220896,13.520142929894584
United States,USA,North America,91.30721473693848,94.00603539603098,6.108035717691694,5.729214285101209
Uzbekistan,UZB,Europe & Central Asia,53.89803545815604,53.13324982779367,7.244857132434847,6.740607138190953
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,72.19496427263532,80.05778585161481,21.044428689139227,18.790821416037428
"Venezuela, RB",VEN,Latin America & Caribbean,61.65189252580915,64.34392915453229,9.075750010354179,10.906892810549058
Virgin Islands (U.S.),VIR,Latin America & Caribbean,79.78550011771065,88.1302855355399,8.113357084138054,9.812285695757181
Vietnam,VNM,East Asia & Pacific,31.246392999376578,22.627142906188965,2.017285708870207,1.857250009264265
Vanuatu,VUT,East Asia & Pacific,29.798499924795976,22.86746447426933,5.547714301518033,6.74799999168941
Samoa,WSM,East Asia & Pacific,64.40907164982387,62.90135724203928,4.759964308568411,6.458285731928691
"Yemen, Rep.",YEM,Middle East & North Africa,52.43753569466726,35.6890001296997,11.381821462086274,13.763964363506867
South Africa,ZAF,Sub-Saharan Africa,84.10339273725238,81.36717823573521,24.282249995640345,32.54349967411587
Zambia,ZMB,Sub-Saharan Africa,27.341357026781363,10.027928522654943,12.704464231218608,12.308250171797615
Zimbabwe,ZWE,Sub-Saharan Africa,48.634821210588726,22.56357138497489,5.54949997152601,4.751892898763929
